Full_Verse,First_Sadr,First_Ajz,Second_Sadr,Second_Ajz,Fifth_Verse,اسم الشاعر,نوع النص(فخر/هجاء/غزل/وصف),تصنيف النص دوبيت ام لا,عدد الأبيات
قطعنا اللتبراوي وبنادقنا عبيناين .. وكم إبلٍ سمان في صدورنا صاورناين .. المقصود يجن وأيامنا عديناين .. البِـنَّه بتردد يا فندي ما شفناين,قطعنا اللتبراوي وبنادقنا عبيناين,وكم إبلٍ سمان في صدورنا صاورناين,المقصود يجن وأيامنا عديناين,البِـنَّه بتردد يا فندي ما شفناين,,شاعر نهاض,وصف,نعم,2
من شندي استعدينا ومرقنا خلاص .. طر المريوده وادردق عليها أب راص .. كان بنتلاقى في فنقه وضرب رصاص .. ما بجيبونا ناس طرطور مع القصاص,من شندي استعدينا ومرقنا خلاص,طر المريوده وادردق عليها أب راص,كان بنتلاقى في فنقه وضرب رصاص,ما بجيبونا ناس طرطور مع القصاص,,شاعر نهاض,وصف,نعم,2
يومن في خلا ويومن مسوحنا الفتنة .. ويومن في شجر القضارف بتنا .. البينه بترد من خصمنا الباهتنا .. نتحزم على عروضنا ونقضي وقتنا,يومن في خلا ويومن مسوحنا الفتنة,ويومن في شجر القضارف بتنا,البينه بترد من خصمنا الباهتنا,نتحزم على عروضنا ونقضي وقتنا,,شاعر نهاض,وصف,نعم,2
الخبر السمعته الصديق مقفل جوه .. حالف ما بقيف دونه ان بقيت في هوه .. صقر الميتره الدايمن بيقلع قوة .. البِتِب عجلان على البقول يا مروه,الخبر السمعته الصديق مقفل جوه,حالف ما بقيف دونه ان بقيت في هوه,صقر الميتره الدايمن بيقلع قوة,البِتِب عجلان على البقول يا مروه,,,قصصي,نعم,2
الولد البكرب فوق قفا اب صنقور .. بقى مقبوض قبايل حاله مد مخبور .. اللوم مو سمح يا ام حاجبن مجرور .. نحن نبوبي والصديق هناك محجور,الولد البكرب فوق قفا اب صنقور,بقى مقبوض قبايل حاله مد مخبور,اللوم مو سمح يا ام حاجبن مجرور,نحن نبوبي والصديق هناك محجور,,,قصصي,نعم,2
أكل الخلفه وقبل على المنسية .. وهجم الحوري لي قتلة عريب ناس رية .. كان ما أسكت الببكن وخلف الكيه .. قولت أبو فاطمة يالصديق خسارة عليه,أكل الخلفه وقبل على المنسية,وهجم الحوري لي قتلة عريب ناس رية,كان ما أسكت الببكن وخلف الكيه,قولت أبو فاطمة يالصديق خسارة عليه,,ود ضحوية,قصصي,نعم,2
ناس قَدَرَ الله قاعدين في البيوت ما بخوترو .. من كبي وكشف حال الحريم ما بفوترو .. أخير أختر براي أسد الرديم أنوترو .. صاحبي إن ضل ما بفشي به ديمه بسوترو,ناس قَدَرَ الله قاعدين في البيوت ما بخوترو,من كبي وكشف حال الحريم ما بفوترو,أخير أختر براي أسد الرديم أنوترو,صاحبي إن ضل ما بفشي به ديمه بسوترو,,ود ضحوية,قصصي,نعم,2
واحدين شدوا الركاب وجدعوا النميم بي قفاهن .. واحدين في السجن شهر المروق ما جاهن .. أخوان ديفة النقعة السهاد والاهن .. دي بتتعدا عُقب اهل البكار واشقاهن,واحدين شدوا الركاب وجدعوا النميم بي قفاهن,واحدين في السجن شهر المروق ما جاهن,أخوان ديفة النقعة السهاد والاهن,دي بتتعدا عُقب اهل البكار واشقاهن,,,وصف,نعم,2
وكت الليل بَرَد ونجم الُكبار اتبنت .. حليت نمتي وقعد الجمل يصنف .. فويطراتك كشيب التربشوله وحنت .. مابلد النحل تاني الخوالدة ان جنت,وكت الليل بَرَد ونجم الُكبار اتبنت,حليت نمتي وقعد الجمل يصنف,فويطراتك كشيب التربشوله وحنت,مابلد النحل تاني الخوالدة ان جنت,,عبدالرحمن العبادي,شعر الإبل,نعم,2
كم كربته من الصبح للغيبه .. وكم شقيت فيافي وكم كتلت دبيبه .. أمول الرجال مهما تكون بنجيبه .. كربت يا جمل في ريرا لي حبيبه,كم كربته من الصبح للغيبه,وكم شقيت فيافي وكم كتلت دبيبه,أمول الرجال مهما تكون بنجيبه,كربت يا جمل في ريرا لي حبيبه,,ود حيدرب,غزل,نعم,2
قال لي الجمل يا سيدي أرخي رسيني .. وانا عارف الطريق بالله ما توصيني .. لام زين الحبيبه ليك بصل في حيني .. وان بطلت بكره السوق عصر وديني,قال لي الجمل يا سيدي أرخي رسيني,وانا عارف الطريق بالله ما توصيني,لام زين الحبيبه ليك بصل في حيني,وان بطلت بكره السوق عصر وديني,,ود حيدرب,غزل,نعم,2
خبيبك للدرب كبار ومواسه .. وإيديك يقطعوا الفرقه ويعرفوا قياسه .. أفورق ايديك الضلمة جاني دماسه .. يبقى الليله شتلة نامه برعت راسه,خبيبك للدرب كبار ومواسه,وإيديك يقطعوا الفرقه ويعرفوا قياسه,أفورق ايديك الضلمة جاني دماسه,يبقى الليله شتلة نامه برعت راسه,,ود حيدرب,وصف,نعم,2
رقد المقدر الكان بي جريدته اتبين .. كم لله بالتيه والعتامير هين .. زمنه العالي سرجه القارتيته معين .. المطمر ملان بعلوقه ما بنتدين,رقد المقدر الكان بي جريدته اتبين,كم لله بالتيه والعتامير هين,زمنه العالي سرجه القارتيته معين,المطمر ملان بعلوقه ما بنتدين,,ود شوراني,رثاء,نعم,2
انكسر العزيز ود المهوره القاصع .. أقنف ليه فطسه وسدره جاير وواسع .. منسول الشدايد الحوري جده التاسع .. جايبه تعبان وامه المي دشر لي ماصع,انكسر العزيز ود المهوره القاصع,أقنف ليه فطسه وسدره جاير وواسع,منسول الشدايد الحوري جده التاسع,جايبه تعبان وامه المي دشر لي ماصع,,ود شوراني,رثاء,نعم,2
سفرا بالردي الكرباجه فوقه بجود .. يا عبدالله ساقي عليه مو متعود .. البهجم به ست الريد فلانه مهود .. اندمدم رقد من غير الله بعوض,سفرا بالردي الكرباجه فوقه بجود,يا عبدالله ساقي عليه مو متعود,البهجم به ست الريد فلانه مهود,اندمدم رقد من غير الله بعوض,,ود شوراني,رثاء,نعم,2
ياست الجمال كل من رآك يخال .. قد شاهد ملاك والنور تعالى وخال .. الرباني سحرك في الشفاف ان خال .. سوالك قلوب الناس في خدك خال,ياست الجمال كل من رآك يخال,قد شاهد ملاك والنور تعالى وخال,الرباني سحرك في الشفاف ان خال,سوالك قلوب الناس في خدك خال,,سيد عبدالعزيز,غزل,نعم,2
حبك حافظه سر لي واشي ما اتقولت .. لا وحياة صفاك أبدا ولا حاولت .. مهما قالوا ليك ومهما براك أولت .. لاتظن يا حبيب عن حبك اتحولت,حبك حافظه سر لي واشي ما اتقولت,لا وحياة صفاك أبدا ولا حاولت,مهما قالوا ليك ومهما براك أولت,لاتظن يا حبيب عن حبك اتحولت,,محمد علي عبدالله,غزل,نعم,2
آه انا في صدودك ومن غرامي ذهلت .. جاهل البي صحيح أم انت اجاهلت .. بحبك حب شريف لكني اطاولت .. لي قمر السما وفي دا العذاب طولت .. في روضة محاسنك تهت واتجولت .. عجزت عن الوصف احترت واتهولت,آه انا في صدودك ومن غرامي ذهلت,جاهل البي صحيح أم انت اجاهلت,بحبك حب شريف لكني اطاولت,لي قمر السما وفي دا العذاب طولت,,محمد علي عبدالله,غزل,نعم,2
أرواحنا حوله تدور غير شوفته ما بندور .. قمر الزمان والدور ياما شرح لي صدور .. قاسي وحليم ونفور صبح عواطفي تفور .. حايز كمال موفور من مصر لي دارفور,أرواحنا حوله تدور غير شوفته ما بندور,قمر الزمان والدور ياما شرح لي صدور,قاسي وحليم ونفور صبح عواطفي تفور,حايز كمال موفور من مصر لي دارفور,,محمد علي عبدالله,غزل,نعم,2
أول مرة فيها نقول شاهدنا محفل .. عادي وبادي راقي وبالأزهار محفل .. لا إنسان مشاغب لا إنسان تطفل .. لا عازل يراقب لاحاسد مغفل,أول مرة فيها نقول شاهدنا محفل,عادي وبادي راقي وبالأزهار محفل,لا إنسان مشاغب لا إنسان تطفل,لا عازل يراقب لاحاسد مغفل,,عبيد عبدالرحمن,,نعم,2
حن الدنيا كله كان في القول ممثل .. شفنا البدر ينزل بين الناس تمثل .. شفنا النور تشاعل في الخد المأسل .. وكل ما تفوتنا ثانيه يجينا ملاك مرسل,حن الدنيا كله كان في القول ممثل,شفنا البدر ينزل بين الناس تمثل,شفنا النور تشاعل في الخد المأسل,وكل ما تفوتنا ثانيه يجينا ملاك مرسل,,عبيد عبدالرحمن,,نعم,2
برقك قلع الساريه أم سحابا صاح .. وتعالك كتم من الهوى اللحاح .. رعدك رز في المطر التقيلة وقاح .. وباردك لاقى شمش الغيبه باكرزاح,برقك قلع الساريه أم سحابا صاح,وتعالك كتم من الهوى اللحاح,رعدك رز في المطر التقيلة وقاح,وباردك لاقى شمش الغيبه باكرزاح,,ود الشلهمة,وصف,نعم,2
أسمحت من صيفة خلا وقهبونة .. وانفشت سحابتك فوقك المشحونة .. أصبحت المواطي والضهوة مطيونة .. واتكسيت بي تيابا منوع لونه,أسمحت من صيفة خلا وقهبونة,وانفشت سحابتك فوقك المشحونة,أصبحت المواطي والضهوة مطيونة,واتكسيت بي تيابا منوع لونه,,ود الشلهمة,وصف,نعم,2
فيك لون الصفارى كالبرص مجلية .. اللباب حمرتو تقول عيون قمرية .. التبر انغرش عرقو وفرش شمشية .. يضرب في شعاع شمش الصباح النية,فيك لون الصفارى كالبرص مجلية,اللباب حمرتو تقول عيون قمرية,التبر انغرش عرقو وفرش شمشية,يضرب في شعاع شمش الصباح النية,,ود الشلهمة,وصف,نعم,2
اسمحت من صيفة وسموما قالية .. واتلاقت سواريك بالصبيب متوالية .. فكيت الدعا شات والنسائم الحالية .. عربك ختت لب نبل والضهور العالية,اسمحت من صيفة وسموما قالية,واتلاقت سواريك بالصبيب متوالية,فكيت الدعا شات والنسائم الحالية,عربك ختت لب نبل والضهور العالية,,ود الشلهمة,وصف,نعم,2
اتكسيت بي لونا لبست جديد .. وتصبح كل يوم نايره وحلاته تزيد .. تعالك نزل ساوى الضهوة والليد .. واجادع فريقك في نزلتو بعيد,اتكسيت بي لونا لبست جديد,وتصبح كل يوم نايره وحلاته تزيد,تعالك نزل ساوى الضهوة والليد,واجادع فريقك في نزلتو بعيد,,ود الشلهمة,وصف,نعم,2
نار وجهك خلاص وأصبح عريسك باش .. وسيلك لي علاويك وبالمراتع كاش .. نفسك من سموم تحلى جابلو دعاش .. وعربك لي جفافن جبدو البراش,نار وجهك خلاص وأصبح عريسك باش,وسيلك لي علاويك وبالمراتع كاش,نفسك من سموم تحلى جابلو دعاش,وعربك لي جفافن جبدو البراش,,ود الشلهمة,وصف,نعم,2
يانومي اللبيت للعين تعود وتميل .. عسفك مني مرناعا ظريف وجميل .. قامتو ربيعه خدو أسيل وطرفو كحيل .. يموج متاكي من أردافو يمشي وحيل,يانومي اللبيت للعين تعود وتميل,عسفك مني مرناعا ظريف وجميل,قامتو ربيعه خدو أسيل وطرفو كحيل,يموج متاكي من أردافو يمشي وحيل,,احمد ود عوض الكريم,وصف,نعم,2
عرضو وفرضو لامن أفنى مافكالن .. مواعين الكرم تمتم عبارن وكالن .. خلواتو المتل صوت الجراد عكالن .. بكفيهن صوانيا بداع اشكالن,عرضو وفرضو لامن أفنى مافكالن,مواعين الكرم تمتم عبارن وكالن,خلواتو المتل صوت الجراد عكالن,بكفيهن صوانيا بداع اشكالن,,,غزل,نعم,2
رفاق الضيف أنى حل هبوا .. لهم للضيف ضم والتزام .. اذا نحروا العشار مودعات .. فلا من بذاك ولا كلام,رفاق الضيف أنى حل هبوا,لهم للضيف ضم والتزام,اذا نحروا العشار مودعات,فلا من بذاك ولا كلام,,عبدالله محمد عمر البنا,فخر,نعم,2
سمحت ومن شنات الصيفه لونه اندس .. وجبالك لبس من الخضار واتكسى .. يالمردا التليني مع الجمال في الرس .. فوقك زرقن الرزمي السحابو اتمسى,سمحت ومن شنات الصيفه لونه اندس,وجبالك لبس من الخضار واتكسى,يالمردا التليني مع الجمال في الرس,فوقك زرقن الرزمي السحابو اتمسى,,,وصف,نعم,2
يالمردا الردم فيخك سحاب الطرفة .. جديع النميم بجي فوق عفاك غير كلفه .. مريه وفيك بطبق العمار الخلفه .. مطروحه وجناحك كوعو وطن حلفه,يالمردا الردم فيخك سحاب الطرفة,جديع النميم بجي فوق عفاك غير كلفه,مريه وفيك بطبق العمار الخلفه,مطروحه وجناحك كوعو وطن حلفه,,,وصف,نعم,2
ياحليلك قبيل وكتن نداك بي زيقو .. وزن الديش نزل كبد اللبالى فريقو .. ضراك ديش حلفا الله يعيقو .. سوالك فعالن نفسي ما بطيقو,ياحليلك قبيل وكتن نداك بي زيقو,وزن الديش نزل كبد اللبالى فريقو,ضراك ديش حلفا الله يعيقو,سوالك فعالن نفسي ما بطيقو,,الصادق اب امنة,وصف,نعم,2
الموت يا أم هبج صقاروا تابع خيلك .. الا كريمه ما بجوعيه دخيلك .. رب العزة بي وابل المطر ساخيلك .. السحا والمفيريط والصفارى نخيلك,الموت يا أم هبج صقاروا تابع خيلك,الا كريمه ما بجوعيه دخيلك,رب العزة بي وابل المطر ساخيلك,السحا والمفيريط والصفارى نخيلك,,ود نائل,فخر,نعم,2
اتخلفلها البطحاني والعبادي .. وتفضنو المتل جبب أم صريمه يدادي .. نحن ترانا للشابوره ديمة نحادي .. عنز الشاي مراقبه من غرامة القاضي,اتخلفلها البطحاني والعبادي,وتفضنو المتل جبب أم صريمه يدادي,نحن ترانا للشابوره ديمة نحادي,عنز الشاي مراقبه من غرامة القاضي,,الصادق اب امنة,وصف,نعم,2
الضحوى الرزم جاب الدليج من غادي .. فايضا غرق العقده ومطيمر الهادي .. أسقى البحرى من ليلو وبنات الوادي .. يمشي كسيده لاعند العلو المسادي,الضحوى الرزم جاب الدليج من غادي,فايضا غرق العقده ومطيمر الهادي,أسقى البحرى من ليلو وبنات الوادي,يمشي كسيده لاعند العلو المسادي,,الصادق اب امنة,وصف,نعم,2
الصيف دخل ليلو القصير والانا .. بي مد النهار طول الهجير قلانا .. فك سمومو وحت الزهره من اغصانا .. وفي اخرو البايب حسرت مرعانا,الصيف دخل ليلو القصير والانا,بي مد النهار طول الهجير قلانا,فك سمومو وحت الزهره من اغصانا,وفي اخرو البايب حسرت مرعانا,,,,نعم,2
الليله الرشاش ود الخريف طلانا .. بي ام بشار نسج زين ماقدر بلانا .. رجع لي ابوه قاليه الأرض عطشانا .. الناس قالوا قبال الفوات فانا,الليله الرشاش ود الخريف طلانا,بي ام بشار نسج زين ماقدر بلانا,رجع لي ابوه قاليه الأرض عطشانا,الناس قالوا قبال الفوات فانا,,,وصف,نعم,2
بعد أيام قراب جات أم رويق طالانا .. عين البرق تفتح آن تغمض آنا .. تكالم فينا ما عرفناه عجمي لسانا .. لي طلوع الوكت قت ما انقطع طنانا,بعد أيام قراب جات أم رويق طالانا,عين البرق تفتح آن تغمض آنا,تكالم فينا ما عرفناه عجمي لسانا,لي طلوع الوكت قت ما انقطع طنانا,,,وصف,نعم,2
أصبحنا الصباح شفنا الأرض رويانا .. الماء يجري من عاليها لي وديانا .. جميع الفيها كان الوحش كان انسانا .. بحمد ربو حمدا لا عدد شكرانا,أصبحنا الصباح شفنا الأرض رويانا,الماء يجري من عاليها لي وديانا,جميع الفيها كان الوحش كان انسانا,بحمد ربو حمدا لا عدد شكرانا,,,وصف,نعم,2
أرضنا لبست التوب الخضارى متانا .. عشت واشبعت في الآخرى الحنانا .. واحدين حضروا السلوقه بي كريانا .. واحدين هدموا واندرجوا نشقوا بطانا,أرضنا لبست التوب الخضارى متانا,عشت واشبعت في الآخرى الحنانا,واحدين حضروا السلوقه بي كريانا,واحدين هدموا واندرجوا نشقوا بطانا,,,وصف,نعم,2
بت اب طيرة شبعت في العوج والذل .. وبقيت حاله أشبه بي مريض السل .. أرجوك يا محمد يا شفيع الكل .. تدها فوق صناقير المقيد ضل,بت اب طيرة شبعت في العوج والذل,وبقيت حاله أشبه بي مريض السل,أرجوك يا محمد يا شفيع الكل,تدها فوق صناقير المقيد ضل,,ابراهيم سليمان,وصف,نعم,2
وقع مطر البطين وللمسادير خسر .. سيد أم زور على راعي النعاج اتنصر .. أمات البهيج بعد النجم ما عصر .. ماجابولن العيش للعليقة وقصر,وقع مطر البطين وللمسادير خسر,سيد أم زور على راعي النعاج اتنصر,أمات البهيج بعد النجم ما عصر,ماجابولن العيش للعليقة وقصر,,ابراهيم سليمان,وصف,نعم,2
الضان أكل بعضو وتل رقاع .. والبقر التعيس ودوه للجزر ما نباع .. ود أم زور وكت يلقى عقيدو مونجاع .. تلقى أماتو قبل الجزيره رتاع,الضان أكل بعضو وتل رقاع,والبقر التعيس ودوه للجزر ما نباع,ود أم زور وكت يلقى عقيدو مونجاع,تلقى أماتو قبل الجزيره رتاع,,نصر الدين احمد,وصف,نعم,2
الليام بشوف أهل الغنم مهمومه .. وكل مره على الدكان يقيفن زومه .. المحل المطربحه والوطى المهدومه .. بطربحها ام زور للقلوع في يومه,الليام بشوف أهل الغنم مهمومه,وكل مره على الدكان يقيفن زومه,المحل المطربحه والوطى المهدومه,بطربحها ام زور للقلوع في يومه,,نصر الدين احمد,وصف,نعم,2
طالت وامغت فنقيله أبى ما يضيف .. والنجامه حالونا الضراع للصيف .. انجلت البسافروب العبابده الريف .. غنوم الدراهم يعملولن كيف,طالت وامغت فنقيله أبى ما يضيف,والنجامه حالونا الضراع للصيف,انجلت البسافروب العبابده الريف,غنوم الدراهم يعملولن كيف,,ابراهيم سليمان,وصف,نعم,2
لحاح الغرب ساق للمنازل خيس .. وقلبك من رحمة السيد نعل ما أيس .. الضيق من هلاله والصحابه مسيس .. قالوا بعقبو خيرا فيضوا ما بتقيس,لحاح الغرب ساق للمنازل خيس,وقلبك من رحمة السيد نعل ما أيس,الضيق من هلاله والصحابه مسيس,قالوا بعقبو خيرا فيضوا ما بتقيس,,ابراهيم سليمان,وصف,نعم,2
القاش البقيرو كتير معاك موخايل .. ونتعداه مادابنو فكرك جايل .. برجاك النقير جايب لبلبو المو مايل .. ونزلوه اولاد ابونا القايله واصبح سايل,القاش البقيرو كتير معاك موخايل,ونتعداه مادابنو فكرك جايل,برجاك النقير جايب لبلبو المو مايل,ونزلوه اولاد ابونا القايله واصبح سايل,,ابراهيم سليمان,وصف,نعم,2
الخلانى برد القاش معاك واتغرب .. شايفلك ضيوف زمن السنين تتكرب .. أبشرى الصيفى وجهو عليك وخيرك قرب .. لابد نزله في الليد المقامه محرب,الخلانى برد القاش معاك واتغرب,شايفلك ضيوف زمن السنين تتكرب,أبشرى الصيفى وجهو عليك وخيرك قرب,لابد نزله في الليد المقامه محرب,,ابراهيم سليمان,وصف,نعم,2
اللخضر عنابيف الجرى الندار .. جن جاريات وراك كاسيات خلاص التار .. بعد ما وصلن ميس العناد الحار .. جيت وجهك خلا وضهرك وراه كتار,اللخضر عنابيف الجرى الندار,جن جاريات وراك كاسيات خلاص التار,بعد ما وصلن ميس العناد الحار,جيت وجهك خلا وضهرك وراه كتار,,,وصف,نعم,2
الكايس زباك ومن صباحو مبدر .. اسقيتو المراير الحالتن بتكدر .. بالجدع المفاسح والجرى المتحضر .. فرط الليدو نفاية الهوا البسدر,الكايس زباك ومن صباحو مبدر,اسقيتو المراير الحالتن بتكدر,بالجدع المفاسح والجرى المتحضر,فرط الليدو نفاية الهوا البسدر,,,وصف,نعم,2
يوما بي مجالس أمات عروض بنفرق .. ويوما نحن في العقبة اللهوبه بحرق .. يا مسكينة البدف من الدميره مشرق .. برضيك بي ردايفا قلبي ليهن جرق,يوما بي مجالس أمات عروض بنفرق,ويوما نحن في العقبة اللهوبه بحرق,يا مسكينة البدف من الدميره مشرق,برضيك بي ردايفا قلبي ليهن جرق,,,وصف,نعم,2
كم شديت على التلب الكزازي أب دومه .. وكم قطعتهن من سنجه طالبات رومه .. الروح ما بتفارق الجته قبال يومه .. ياريت كل نسلم من فلانه ولومه,كم شديت على التلب الكزازي أب دومه,وكم قطعتهن من سنجه طالبات رومه,الروح ما بتفارق الجته قبال يومه,ياريت كل نسلم من فلانه ولومه,,,,نعم,2
من زمن الخليفة مغلبنوا كبارنا .. قاطعين روسنا وغنموا مالنا .. في الحاره أم سلاحا يعوى نستر حالنا .. يا كارلس معذب بينا مالك ومالك,من زمن الخليفة مغلبنوا كبارنا,قاطعين روسنا وغنموا مالنا,في الحاره أم سلاحا يعوى نستر حالنا,يا كارلس معذب بينا مالك ومالك,,النهاض,وصف,نعم,2
من زمن الخليفه الحال بقت مرهونه .. عضام شيابنا راقدات في المشانق شونه .. بالقيد والسجن يا أحموده ما بهدونه .. نحن اخوان بريريبة الجزو الد رفونه,من زمن الخليفه الحال بقت مرهونه,عضام شيابنا راقدات في المشانق شونه,بالقيد والسجن يا أحموده ما بهدونه,نحن اخوان بريريبة الجزو الد رفونه,,النهاض,وصف,نعم,2
مادام أم قجه وارده وسادره بالمسدار .. شن جابر على الحش والملود الحار .. إبل البعشى مريتو قبل الجار .. نوديه دورين غرب سنار,مادام أم قجه وارده وسادره بالمسدار,شن جابر على الحش والملود الحار,إبل البعشى مريتو قبل الجار,نوديه دورين غرب سنار,,,وصف,نعم,2
ياساتر على ركب المهاجره أل لفوا .. ويلقوا الختوه في مال البدان يستفوا .. يسوقوا أم دا نقيس الريشه الهبوب بزفو .. ويصبح سيده يخمش في التراب وبسفو,ياساتر على ركب المهاجره أل لفوا,ويلقوا الختوه في مال البدان يستفوا,يسوقوا أم دا نقيس الريشه الهبوب بزفو,ويصبح سيده يخمش في التراب وبسفو,,,وصف,نعم,2
كم شقيت غربه فيها بقلب لوني .. وكم باريت جنينا في الخلا بشوروني .. ردي ببعدوا اصحاب ساحتي ما بريبوني .. كراعي تقيله بحرت كفى شن لحقوني,كم شقيت غربه فيها بقلب لوني,وكم باريت جنينا في الخلا بشوروني,ردي ببعدوا اصحاب ساحتي ما بريبوني,كراعي تقيله بحرت كفى شن لحقوني,,,وصف,نعم,2
ياود التكيت طلقن هبايب جبره .. وسيد أم قجه من الرادي خانقه العبره .. الشايل فريريرو ومقوى الكبره .. بنشهيه سوق ست السرا المتبره,ياود التكيت طلقن هبايب جبره,وسيد أم قجه من الرادي خانقه العبره,الشايل فريريرو ومقوى الكبره,بنشهيه سوق ست السرا المتبره,,,وصف,نعم,2
أب قنب اللفج كوعو وسمح تضريعو .. عسرات اللكب حي الشقوق بتريعو .. كل عامرا مراجى السوق بفك تقريعو .. نحن قرانازي ما يتفق بنبيعو,أب قنب اللفج كوعو وسمح تضريعو,عسرات اللكب حي الشقوق بتريعو,كل عامرا مراجى السوق بفك تقريعو,نحن قرانازي ما يتفق بنبيعو,,عبدالمنان عبدالماجد,وصف,نعم,2
عقب الدندر الغيبه ومنوى شروق .. ركز العقب حز فوق جد ابو البرقوق .. يا الخليت الوراك ساف الوطى ومحروق .. كب آخر إيدك يا الحوري الجلب مشروق,عقب الدندر الغيبه ومنوى شروق,ركز العقب حز فوق جد ابو البرقوق,يا الخليت الوراك ساف الوطى ومحروق,كب آخر إيدك يا الحوري الجلب مشروق,,عبدالمنان عبدالماجد,وصف,نعم,2
الليله السجن جابلو نكتامه وحره .. ونحن جرا رقو يا ساتر على ناس بره .. الولد البعتيها ويتنى الجره .. يخبر لي مراح حسب الله وين ما فره,الليله السجن جابلو نكتامه وحره,ونحن جرا رقو يا ساتر على ناس بره,الولد البعتيها ويتنى الجره,يخبر لي مراح حسب الله وين ما فره,,,وعيد,نعم,2
ماني الخايب الدايما بقول سويت .. وما نهروني عن ساعة السؤال قريت .. إن بردن قروش ماني البخيل صريت .. وإن حرن بكار ماهن صفائح زيت,ماني الخايب الدايما بقول سويت,وما نهروني عن ساعة السؤال قريت,إن بردن قروش ماني البخيل صريت,وإن حرن بكار ماهن صفائح زيت,,سليمان علي الضو الكمالابي,,نعم,2
مصروف البنات والكيله .. فوقك يا هجين الردفولو التيله .. عيشة القوي أحسن لينا ماها ذليلة .. ما بتدريك ال من الله جايه نزيلة,مصروف البنات والكيله,فوقك يا هجين الردفولو التيله,عيشة القوي أحسن لينا ماها ذليلة,ما بتدريك ال من الله جايه نزيلة,,,,نعم,2
دردرني الفقر لامن بقيت شنكيت .. ودني الغبائن لي جبال فترتيت .. اما جبت مالا فرح أم سوميت .. واما فوق جبال تقلي انجدع ماجيت,دردرني الفقر لامن بقيت شنكيت,ودني الغبائن لي جبال فترتيت,اما جبت مالا فرح أم سوميت,واما فوق جبال تقلي انجدع ماجيت,,,,نعم,2
ماني التمبل ال في البيت شغلتو حليب .. بدور الشد فوق إبلا شوافى ونيب .. إن حرن منخت الشكره ما بنعيب .. وان بردن بنكافيبن سوالف ام طيب,ماني التمبل ال في البيت شغلتو حليب,بدور الشد فوق إبلا شوافى ونيب,إن حرن منخت الشكره ما بنعيب,وان بردن بنكافيبن سوالف ام طيب,,أمير ود ضحويه,,نعم,2
مساريا على كسمور بجن قطاع .. مراديف كلهن من الصعب للطاع .. قامولن جنينا في الطلق بتاع .. بكافوبن سوالف العقربن لطاع,مساريا على كسمور بجن قطاع,مراديف كلهن من الصعب للطاع,قامولن جنينا في الطلق بتاع,بكافوبن سوالف العقربن لطاع,,,,نعم,2
الدشر المسارى وادرتت عطافتو .. استامن خلاص من القران ومخافتو .. الداير فراق مرتو وتريم طافتو .. ال يمرق على كسمور بخربو قيافتو,الدشر المسارى وادرتت عطافتو,استامن خلاص من القران ومخافتو,الداير فراق مرتو وتريم طافتو,ال يمرق على كسمور بخربو قيافتو,,,وعيد,نعم,2
الولد البدور قطع الكراع والراس .. برضو ال يبقى لي طوال النديب قناص .. جنبا إن سجبوك في صي بي قراص .. جنبا إن رقصوك وأسامعوب الناس,الولد البدور قطع الكراع والراس,برضو ال يبقى لي طوال النديب قناص,جنبا إن سجبوك في صي بي قراص,جنبا إن رقصوك وأسامعوب الناس,,,,نعم,2
كر يانوح من دا الخراب .. عجب عيني تأكل فيه الكلاب .. ود دقلش ميح من الركاب .. أخير دامن قولة جفلوا المرغماب,كر يانوح من دا الخراب,عجب عيني تأكل فيه الكلاب,ود دقلش ميح من الركاب,أخير دامن قولة جفلوا المرغماب,,شغبة,هجاء,نعم,2
يقن لي خرابك يا عديد نوير .. راحوا النايرين فضلوا البما سحو الكيل .. ود دقلش يكفي لي هوايد الليل .. ود نواي كتل فارس التقيله ام حيل .. شغبه وين تقبل بي كبيرة الضيل,يقن لي خرابك يا عديد نوير,راحوا النايرين فضلوا البما سحو الكيل,ود دقلش يكفي لي هوايد الليل,ود نواي كتل فارس التقيله ام حيل,,شغبة,وصف,نعم,2
دب العركشاب وكتا يلوكوا المر .. تدبت للكتال متل الكباش الغر .. يدعكوا على الصف الدميه تخر .. ويصف لون متل دهب الجمار الحر,دب العركشاب وكتا يلوكوا المر,تدبت للكتال متل الكباش الغر,يدعكوا على الصف الدميه تخر,ويصف لون متل دهب الجمار الحر,,شغبة,وصف,نعم,2
حمد المليحابي سدر للباك .. وسنتين بدولب في البشربو التمباك .. كتل الشيخ برير وحرق حشا الدعاك .. وجاب ال في الصفيه رقهن بتراك,حمد المليحابي سدر للباك,وسنتين بدولب في البشربو التمباك,كتل الشيخ برير وحرق حشا الدعاك,وجاب ال في الصفيه رقهن بتراك,,شغبة,وصف,نعم,2
جيد يا برير الضقت النكور والهول .. وكسر الهمبروك عيش السديره الخور .. سوقه الحدم العقدن قفيهن شول .. كتلة البرمكي مع صباح البول,جيد يا برير الضقت النكور والهول,وكسر الهمبروك عيش السديره الخور,سوقه الحدم العقدن قفيهن شول,كتلة البرمكي مع صباح البول,,شغبة,وصف,نعم,2
